id,uuid,tagId,allNamesByLocale,parentTagIds,createdAt,deletedAt,updatedAt,tagName
183,dcfed6c8-3e11-4663-8434-fb48b8614aff,11918,"{""da"": ""Private dagsture"", ""de"": ""Private Tagesausflüge"", ""en"": ""Private Day Trips"", ""es"": ""Excursiones privadas de un día"", ""fr"": ""Circuits privés d'une journée"", ""it"": ""Gite di un giorno private"", ""ja"": ""プライベート日帰りツアー"", ""ko"": ""개인 당일 여행"", ""nl"": ""Privé-dagtrips"", ""no"": ""Private dagsturer"", ""pt"": ""Viagens privadas de um dia"", ""sv"": ""Privata dagsturer"", ""zh"": ""私人一日游"", ""en_AU"": ""Private Day Trips"", ""en_UK"": ""Private Day Trips"", ""zh_CN"": ""私人一日游"", ""zh_HK"": ""私人一日遊"", ""zh_TW"": ""私人一日遊""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Private Day Trips
196,4662a04d-92c3-4649-ae25-60535e23b9fb,11928,"{""da"": ""Heldagsture"", ""de"": ""Ganztägige Touren"", ""en"": ""Full-day Tours"", ""es"": ""Tours de un día completo"", ""fr"": ""Circuits d'une journée complète"", ""it"": ""Tour di un giorno intero"", ""ja"": ""全日ツアー"", ""ko"": ""전일 투어"", ""nl"": ""Dagtours"", ""no"": ""Heldagsturer"", ""pt"": ""Excursões de um dia"", ""sv"": ""Heldagsrundturer"", ""zh"": ""全日游"", ""en_AU"": ""Full-day Tours"", ""en_UK"": ""Full-day Tours"", ""zh_CN"": ""全日游览"", ""zh_HK"": ""全日旅遊"", ""zh_TW"": ""全天遊覽""}","{21732,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Full-day Tours
184,71037375-59b3-4701-bc90-4e48a4bda12c,21726,"{""da"": ""Skyskrabere og tårne"", ""de"": ""Wolkenkratzer und Hochhäuser"", ""en"": ""Skyscrapers & Towers"", ""es"": ""Rascacielos y torres"", ""fr"": ""Gratte-ciels et tours"", ""it"": ""Torri e grattacieli"", ""ja"": ""超高層ビル・タワー"", ""ko"": ""초고층 빌딩 및 타워"", ""nl"": ""Wolkenkrabbers en torens"", ""no"": ""Skyskrapere og tårn"", ""pt"": ""Arranha-céus e torres"", ""sv"": ""Skyskrapor och torn"", ""zh"": ""摩天大楼或塔楼"", ""en_AU"": ""Skyscrapers & Towers"", ""en_UK"": ""Skyscrapers & Towers"", ""zh_CN"": ""摩天大楼或塔楼"", ""zh_HK"": ""摩天大樓和塔樓"", ""zh_TW"": ""高樓大廈和摩天樓""}","{21725,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Skyscrapers & Towers
185,61b498e1-b7e8-485c-99be-86b0f0b1984f,21725,"{""da"": ""Sightseeing"", ""de"": ""Sightseeingtouren"", ""en"": ""Sightseeing Tours"", ""es"": ""Tours turísticos"", ""fr"": ""Visites guidées"", ""it"": ""Giri turistici"", ""ja"": ""観光ツアー"", ""ko"": ""관광 투어"", ""nl"": ""Sightseeingtours"", ""no"": ""Sightseeing-turer"", ""pt"": ""Passeios turísticos"", ""sv"": ""Sightseeing-turer"", ""zh"": ""观光游览"", ""en_AU"": ""Sightseeing Tours"", ""en_UK"": ""Sightseeing Tours"", ""zh_CN"": ""观光游览"", ""zh_HK"": ""观光游览"", ""zh_TW"": ""觀光遊覽""}",{21913},2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Sightseeing Tours
186,8903e00b-c235-4777-a8e7-c38926243f58,21724,"{""da"": ""Se det fra luften"", ""de"": ""In der Luft erkunden"", ""en"": ""See it by Air"", ""es"": ""Vistas desde el cielo"", ""fr"": ""Voir depuis les airs"", ""it"": ""Visti dal cielo"", ""ja"": ""上空から鑑賞"", ""ko"": ""항공 투어"", ""nl"": ""Vanuit de lucht"", ""no"": ""Se det fra luften"", ""pt"": ""Veja de cima"", ""sv"": ""Se det från luften"", ""zh"": ""在空中观光"", ""en_AU"": ""See it by Air"", ""en_UK"": ""See it by Air"", ""zh_CN"": ""在空中观光"", ""zh_HK"": ""在空中觀光"", ""zh_TW"": ""空中視角""}",{21913},2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,See it by Air
187,83ad3a28-c033-48a5-9324-9215e88ab67a,21722,"{""da"": ""Vandflyverture"", ""de"": ""Touren mit einem Wasserflugzeug"", ""en"": ""Seaplane Tours"", ""es"": ""Rutas en hidroavión"", ""fr"": ""Vols en hydravion"", ""it"": ""Tour in idrovolante"", ""ja"": ""水上飛行機ツアー"", ""ko"": ""수상 비행기 투어"", ""nl"": ""Watervliegtuigtochten"", ""no"": ""Sjøflyturer"", ""pt"": ""Passeios de hidroavião"", ""sv"": ""Sjöflygplansturer"", ""zh"": ""水上飞机游览"", ""en_AU"": ""Seaplane Tours"", ""en_UK"": ""Seaplane Tours"", ""zh_CN"": ""水上飞机游览"", ""zh_HK"": ""水上飛機之旅"", ""zh_TW"": ""水上飛機遊覽""}","{21715,21913,21436,21909}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Seaplane Tours
188,b56b0e45-d54b-4cc2-b2a9-fcd12d851f60,11922,"{""da"": ""Flerdagesture"", ""de"": ""Mehrtägige Touren"", ""en"": ""Multi-day Tours"", ""es"": ""Tours de varios días"", ""fr"": ""Circuits de plusieurs jours"", ""it"": ""Tour di più giorni"", ""ja"": ""宿泊付きツアー"", ""ko"": ""2일 이상 투어"", ""nl"": ""Meerdaagse tours"", ""no"": ""Turer over flere dager"", ""pt"": ""Excursões de vários dias"", ""sv"": ""Rundturer på flera dagar"", ""zh"": ""多日游"", ""en_AU"": ""Multi-day Tours"", ""en_UK"": ""Multi-day Tours"", ""zh_CN"": ""多日游"", ""zh_HK"": ""多日遊"", ""zh_TW"": ""多日遊覽""}","{21732,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Multi-day Tours
189,c599d62d-ebf8-40e5-ab80-d5454dcc873a,11921,"{""da"": ""Ture med overnatning"", ""de"": ""Touren mit Übernachtung"", ""en"": ""Overnight Tours"", ""es"": ""Tours de una noche fuera"", ""fr"": ""Circuits de deux jours"", ""it"": ""Tour di notte"", ""ja"": ""1泊ツアー"", ""ko"": ""야간 투어"", ""nl"": ""Tours met overnachting"", ""no"": ""Tur med overnatting"", ""pt"": ""Excursões noturnas"", ""sv"": ""Rundturer med övernattning"", ""zh"": ""通宵游览"", ""en_AU"": ""Overnight Tours"", ""en_UK"": ""Overnight Tours"", ""zh_CN"": ""通宵游览"", ""zh_HK"": ""過夜遊覽"", ""zh_TW"": ""過夜遊覽""}","{21732,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Overnight Tours
190,c48d686c-148a-4800-ab81-c6e9335525c1,10835,"{""da"": ""God udsigt"", ""de"": ""Schöne Aussicht"", ""en"": ""Good View"", ""es"": ""Buenas vistas"", ""fr"": ""Belles vues"", ""it"": ""Bella vista"", ""ja"": ""いい眺め"", ""ko"": ""좋은 전망"", ""nl"": ""Goed uitzicht"", ""no"": ""Bra utsikt"", ""pt"": ""Ótima vista"", ""sv"": ""Fin utsikt"", ""zh"": ""优秀景观"", ""en_AU"": ""Good View"", ""en_UK"": ""Good View"", ""zh_CN"": ""优秀景观"", ""zh_HK"": ""出色景觀"", ""zh_TW"": ""出色景觀""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Good View
191,8c74bc8d-4255-4304-bdfa-f1703882f41f,11924,"{""da"": ""Billetter til middage og forestillinger"", ""de"": ""Tickets für Abendessen mit Showprogramm"", ""en"": ""Dinner and Show Tickets"", ""es"": ""Entradas para cena y espectáculo"", ""fr"": ""Dîner-spectacle"", ""it"": ""Biglietti per cena e spettacolo"", ""ja"": ""ディナーショー・チケット"", ""ko"": ""디너쇼 티켓"", ""nl"": ""Diner en tickets voor een voorstelling"", ""no"": ""Billetter for middag og forestilling"", ""pt"": ""Ingressos para jantar com show"", ""sv"": ""Biljetter till middag och föreställning"", ""zh"": ""晚餐及表演票"", ""en_AU"": ""Dinner and Show Tickets"", ""en_UK"": ""Dinner and Show Tickets"", ""zh_CN"": ""晚餐及表演票"", ""zh_HK"": ""晚餐及表演票"", ""zh_TW"": ""晚餐和表演票券""}","{11890,21911,21516,21910,21912}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Dinner and Show Tickets
